Country,City,AccentCity,Region,Population,Latitude,Longitude
ch,aadorf,Aadorf,19,7100,47.492721,8.898326
ch,aarau,Aarau,01,15007,47.389616,8.052354
ch,aaray,Aaray,01,,47.389616,8.052354
ch,aarberg,Aarberg,05,,47.043835,7.27357
ch,aarburg,Aarburg,01,6484,47.319634,7.901413
ch,aarwangen,Aarwangen,01,,47.238533,7.770042
ch,aathal,Aathal,25,,47.335081,8.770014
ch,ablandschen,Ablandschen,06,,46.57296,7.289358
ch,abtwil,Abtwil,15,,47.423126,9.320997
ch,abtwyl,Abtwyl,15,,47.423126,9.320997
ch,acheberg,Acheberg,01,,47.586096,8.274264
ch,ackersand,Ackersand,22,,46.240211,7.874226
ch,acla,Acla,21,,46.635935,8.845674
ch,aclas dafora,Aclas Dafora,09,,46.694877,9.639743
ch,acquacalda,Acquacalda,20,,46.537328,8.83265
ch,acquarossa,Acquarossa,20,,46.451762,8.939989
ch,adannes,Adannes,06,,46.531238,7.245699
ch,adelboden,Adelboden,05,,46.491829,7.559315
ch,adligenswil,Adligenswil,11,,47.065212,8.361242
ch,adliswil,Adliswil,25,16144,47.311896,8.528684
ch,aecherli,Aecherli,14,,46.833333,8.183333
ch,aeckenmatt,Aeckenmatt,05,,46.858322,7.364219
ch,aedermannsdorf,Aedermannsdorf,18,,47.304966,7.609438
ch,aelgau,Aelgau,05,,46.774806,7.967236
ch,aelgauli,Aelgauli,05,,46.774806,7.967236
ch,aelggi alm,Aelggi Alm,14,,46.796864,8.237504
ch,aelggi alp,Aelggi Alp,14,,46.796864,8.237504
ch,aernen,Aernen,01,,46.398696,8.145833
ch,aesch,Aesch,01,,47.257843,8.24134
ch,aesch,Aesch,04,10396,47.469456,7.595763
ch,aesch,Aesch,21,,46.883333,8.8
ch,aeschau,Aeschau,05,,46.909547,7.76181
ch,aescher,Aescher,10,,47.283279,9.41425
ch,aeschi,Aeschi,05,,46.658473,7.69611
ch,aeschlen,Aeschlen,05,,46.720027,7.699279
ch,aeschlenberg,Aeschlenberg,06,,46.786634,7.261203
ch,aettenschwil,Aettenschwil,01,,47.18356,8.371846
ch,aeugst,Aeugst,01,,47.270413,8.483312
ch,affeltrangen,Affeltrangen,19,,47.527012,9.032068
ch,affoltern,Affoltern,01,10415,47.281224,8.45346
ch,affoltern am albis,Affoltern am Albis,01,,47.281224,8.45346
ch,agarn,Agarn,22,,46.297726,7.666323
ch,ageri,Ageri,24,,47.136445,8.585305
ch,agettes,Agettes,22,,46.211204,7.373692
ch,agiez,Agiez,23,,46.72067,6.508084
ch,agno,Agno,20,,45.983333,8.85
ch,agra,Agra,20,,45.96671,8.912233
ch,aigle,Aigle,23,7897,46.318103,6.964567
ch,aino,Aino,09,,46.333333,10.033333
ch,aion,Aion,09,,46.333333,10.033333
ch,airlonia,Airlonia,14,,46.528471,8.608806
ch,airola,Airola,14,,46.528471,8.608806
ch,airolo,Airolo,14,,46.528471,8.608806
ch,alberswil,Alberswil,01,,47.149981,8.003132
ch,albeuve,Albeuve,23,,46.517315,7.056675
ch,albinen,Albinen,22,,46.34123,7.633791
ch,albligen,Albligen,05,,46.852286,7.31814
ch,alchenstorf,Alchenstorf,18,,47.125372,7.637852
ch,all'acqua,All'Acqua,14,,46.486528,8.475151
ch,all'acqua ospizio,All'Acqua Ospizio,14,,46.486528,8.475151
ch,allaman,Allaman,07,,46.470796,6.395529
ch,alle,Alle,26,,47.426175,7.129112
ch,allmendingen,Allmendingen,05,,46.742526,7.594716
ch,allschwil,Allschwil,04,18745,47.550744,7.535994
ch,almagell,Almagell,22,,46.095042,7.957507
ch,alpe braita,Alpe Braita,09,,46.292613,10.044832
ch,alpe cava,Alpe Cava,20,,46.361294,9.036113
ch,alpe de la barma,Alpe de la Barma,22,,46.061453,7.386043
ch,alpe della costa,Alpe della Costa,20,,46.366667,8.833333
ch,alpe de noveli,Alpe de Noveli,22,,46.134304,7.316892
ch,alpe de peryeire,Alpe de Peryeire,22,,46.066674,7.282552
ch,alpe de tortin,Alpe de Tortin,22,,46.113569,7.303861
ch,alpe di boggio,Alpe di Boggio,20,,46.35,9.183333
ch,alpe di cava,Alpe di Cava,20,,46.361294,9.036113
ch,alpe di cortas,Alpe di Cortas,20,,46.4,9.216667
ch,alpe di crastera,Alpe di Crastera,20,,46.349926,9.248917
ch,alpe dil chant,Alpe dil Chant,09,,46.645588,9.82781
ch,alpe di naccio,Alpe di Naccio,20,,46.15,8.683333
